Wavenumber(cm^-1),2.0MLs101,2.0MLp101,2.0MLs010,2.0MLp010
998.99637,6.4982E-6,-5.6502E-6,6.66E-8,-3.6595E-6
1000.92494,5.9712E-6,-3.0481E-6,-2.096E-6,-2.8549E-6
1002.8535,2.7969E-6,-9.016E-7,-2.6076E-6,-3.09E-8
1004.78207,-7.705E-7,-6.914E-7,-3.083E-6,-3.1349E-6
1006.71063,-1.0427E-6,-1.633E-6,1.339E-7,-4.1775E-6
1008.6392,9.511E-7,-3.1567E-6,3.0431E-6,-4.3702E-6
1010.56776,2.3668E-6,-3.4519E-6,2.1547E-6,-2.4764E-6
1012.49633,1.0704E-6,-2.5022E-6,6.289E-7,-1.5707E-6
1014.42489,-1.2873E-6,-2.667E-6,5.618E-7,-1.0388E-6
1016.35345,-1.5102E-6,-2.9217E-6,2.3087E-6,-7.056E-7
1018.28202,3.799E-7,-2.6195E-6,4.9312E-6,-1.7231E-6
1020.21058,1.9308E-6,-3.3726E-6,5.4867E-6,-2.7164E-6
1022.13915,3.0083E-6,-3.2442E-6,1.7404E-6,-2.5E-6
1024.06771,3.5202E-6,-1.002E-7,-5.4969E-6,-2.6801E-6
1025.99628,2.6899E-6,3.0365E-6,-1.30074E-5,-4.505E-6
1027.92484,9.862E-7,3.1624E-6,-1.7995E-5,-5.7796E-6
1029.85341,1.049E-7,2.0437E-6,-1.84686E-5,-5.2608E-6
1031.78197,9.202E-7,2.152E-6,-1.66981E-5,-6.0407E-6
1033.71053,1.7528E-6,3.2924E-6,-1.45586E-5,-6.6533E-6
1035.6391,1.3181E-6,4.742E-6,-1.15875E-5,-4.5644E-6
1037.56766,6.055E-7,4.2281E-6,-9.1902E-6,-2.4232E-6
1039.49623,1.918E-7,3.353E-7,-6.928E-6,1.116E-7
1041.42479,6E-8,-2.5638E-6,-4.2564E-6,5.5481E-6
1043.35336,3.577E-7,1.685E-7,-3.15E-6,8.9014E-6
1045.28192,-4.03E-7,7.3522E-6,-2.5063E-6,5.7576E-6
1047.21049,-2.4644E-6,1.24736E-5,6.318E-7,-6.2E-9
1049.13905,-3.0174E-6,1.00573E-5,1.1478E-6,-1.955E-6
1051.06761,-1.132E-6,4.1531E-6,8.631E-7,5.2391E-6
1052.99618,3.024E-7,7.514E-7,5.0289E-6,6.3606E-6
1054.92474,3.937E-7,-1.8527E-6,9.6228E-6,7.0105E-6
1056.85331,-5.016E-7,-3.9729E-6,8.6829E-6,6.8572E-6
1058.78187,-1.1879E-6,-2.0516E-6,5.2387E-6,2.5526E-6
1060.71044,4.203E-7,9.947E-7,3.7957E-6,-3.1249E-6
1062.639,2.5545E-6,1.5737E-6,2.904E-6,-4.9181E-6
1064.56756,2.1086E-6,1.7704E-6,1.2039E-6,-8.02E-7
1066.49613,1.0064E-6,2.8684E-6,3.2256E-6,1.8906E-6
1068.42469,1.8029E-6,3.2989E-6,1.7545E-6,-6.917E-7
1070.35326,2.5207E-6,3.2668E-6,-1.4258E-6,-5.5108E-6
1072.28182,1.8687E-6,3.0124E-6,-1.4266E-6,-6.8739E-6
1074.21039,3.05E-7,2.2969E-6,1.8846E-6,-4.9272E-6
1076.13895,-1.417E-6,6.469E-7,3.266E-6,-3.1538E-6
1078.06752,-1.2544E-6,-2.168E-6,6.763E-7,-8.219E-7
1079.99608,1.7931E-6,-3.388E-6,2.102E-6,4.7195E-6
1081.92464,4.0573E-6,-1.4453E-6,3.6256E-6,1.07088E-5
1083.85321,1.8077E-6,1.2439E-6,5.254E-7,1.01789E-5
1085.78177,-1.9884E-6,3.5959E-6,-5.9136E-6,2.8122E-6
1087.71034,-1.6606E-6,4.4007E-6,-8.2562E-6,-7.8E-8
1089.6389,1.2674E-6,2.6136E-6,-5.5017E-6,2.6185E-6
1091.56747,1.8137E-6,4.956E-7,-4.758E-7,6.594E-7
1093.49603,7.079E-7,-2.4469E-6,1.8779E-6,-3.7517E-6
1095.4246,7.387E-7,-7.1086E-6,1.3512E-6,4.004E-7
1097.35316,5.06E-8,-8.3585E-6,4.291E-7,6.6026E-6
1099.28172,-1.5042E-6,-3.8364E-6,-9.941E-7,5.2688E-6
1101.21029,-1.9866E-6,9.347E-7,-1.9853E-6,3.1447E-6
1103.13885,-2.2748E-6,1.0576E-6,-1.457E-6,4.6182E-6
1105.06742,-2.7911E-6,-1.484E-6,-1.0206E-6,4.2111E-6
1106.99598,-2.7279E-6,-2.5507E-6,-2.2767E-6,1.0215E-6
1108.92455,-2.0887E-6,-1.9932E-6,-2.1466E-6,-1.1981E-6
1110.85311,-6.86E-7,-1.1493E-6,1.1515E-6,2.3411E-6
1112.78168,2.355E-7,-2.336E-7,2.0138E-6,9.199E-6
1114.71024,-4.963E-7,2.308E-7,-1.5352E-6,1.13766E-5
